iter	Passed	Remaining
0	0	56
1	1	52
2	1	48
3	1	43
4	2	42
5	2	42
6	3	42
7	3	42
8	4	41
9	4	42
10	5	41
11	5	41
12	6	43
13	6	42
14	16	95
15	17	90
16	17	86
17	18	83
18	18	79
19	19	76
20	19	73
21	20	70
22	20	68
23	20	66
24	21	64
25	21	62
26	22	60
27	22	58
28	23	56
29	23	54
30	23	53
31	24	51
32	24	50
33	25	49
34	25	47
35	26	46
36	26	45
37	26	44
38	27	42
39	27	41
40	28	40
41	28	39
42	28	38
43	29	37
44	29	36
45	30	35
46	30	34
47	31	33
48	31	32
49	31	31
50	32	31
51	32	30
52	33	29
53	33	28
54	33	27
55	34	26
56	34	26
57	35	25
58	35	24
59	36	24
60	36	23
61	36	22
62	37	21
63	37	21
64	38	20
65	38	20
66	39	19
67	39	18
68	40	18
69	40	17
70	41	16
71	41	16
72	41	15
73	42	14
74	42	14
75	43	13
76	43	13
77	44	12
78	44	11
79	44	11
80	45	10
81	45	10
82	46	9
83	46	8
84	46	8
85	47	7
86	47	7
87	48	6
88	48	6
89	49	5
90	49	4
91	49	4
92	50	3
93	50	3
94	51	2
95	51	2
96	52	1
97	52	1
98	53	0
99	53	0
