iter	Passed	Remaining
0	103	103306
1	104	52008
2	104	34893
3	105	26325
4	106	21179
5	107	17787
6	108	15320
7	108	13499
8	109	12095
9	110	10950
10	111	10012
11	112	9227
12	112	8562
13	113	7991
14	114	7500
15	114	7054
16	115	6659
17	115	6309
18	116	5995
19	116	5711
20	116	5454
21	117	5222
22	117	5009
23	118	4816
24	118	4637
25	119	4475
26	119	4322
27	120	4178
28	120	4045
29	121	3922
30	121	3807
31	122	3699
32	122	3597
33	123	3500
34	123	3410
35	124	3328
36	124	3251
37	125	3176
38	126	3108
39	126	3040
40	127	2974
41	127	2913
42	128	2855
43	128	2799
44	129	2744
45	129	2692
46	130	2643
47	130	2596
48	131	2549
49	131	2505
50	132	2462
51	132	2420
52	133	2380
53	133	2343
54	134	2307
55	134	2272
56	135	2239
57	135	2207
58	137	2187
59	137	2156
60	138	2126
61	138	2097
62	139	2069
63	139	2043
64	140	2017
65	140	1991
66	141	1967
67	141	1943
68	142	1921
69	142	1897
70	143	1875
71	143	1853
72	144	1834
73	144	1813
74	145	1792
75	145	1772
76	146	1754
77	146	1734
78	147	1716
79	147	1698
80	148	1682
81	148	1665
82	149	1647
83	149	1631
84	150	1615
85	150	1601
86	151	1586
87	151	1572
88	152	1558
89	152	1545
90	153	1532
91	153	1519
92	154	1507
93	155	1495
94	155	1484
95	156	1471
96	156	1459
97	157	1447
98	157	1435
99	158	1423
100	158	1411
101	159	1400
102	159	1389
103	159	1378
104	160	1367
105	160	1356
106	161	1347
107	161	1337
108	162	1328
109	163	1319
110	163	1310
111	164	1302
112	164	1294
113	165	1285
114	165	1276
115	166	1268
116	166	1259
117	167	1252
118	168	1244
119	168	1236
120	169	1227
121	169	1219
122	169	1211
123	170	1203
124	171	1197
125	171	1190
126	171	1181
127	172	1174
128	172	1167
129	173	1161
130	174	1154
131	174	1148
132	175	1141
133	175	1135
134	176	1129
135	176	1123
136	177	1117
137	177	1110
138	178	1104
139	178	1098
140	179	1092
141	179	1086
142	180	1081
143	180	1075
144	181	1069
145	181	1063
146	182	1058
147	182	1052
148	183	1047
149	183	1042
150	184	1036
151	184	1031
152	185	1026
153	185	1021
154	186	1017
155	187	1012
156	187	1007
157	188	1002
158	188	997
159	189	993
160	189	987
161	189	982
162	190	978
163	191	973
164	191	969
165	192	964
166	192	960
167	193	956
168	193	952
169	194	947
170	194	943
171	195	939
172	195	935
173	196	930
174	196	926
175	197	922
176	197	918
177	198	914
178	198	910
179	199	906
180	199	902
181	200	898
182	200	895
183	201	891
184	201	887
185	201	883
186	202	880
187	202	876
188	203	872
